RK,Player,2020/21,2020/21(*)
1,Stephen Curry,43006362,49431367
2,Russell Westbrook,41358814,47537680
2,Chris Paul,41358814,47537680
4,John Wall,41254920,47418265
4,James Harden,41254920,47418265
6,Kevin Durant,40108950,46101091
7,LeBron James,39219566,45078836
8,Paul George,35450412,40746583
9,Klay Thompson,35361360,40644227
10,Mike Conley,34502132,39656633
11,Jimmy Butler,34379100,39515221
11,Kawhi Leonard,34379100,39515221
11,Kemba Walker,34379100,39515221
14,Tobias Harris,34358850,39491945
15,Blake Griffin,33900241,38964821
16,Kyrie Irving,33722850,38760929
17,Khris Middleton,33051724,37989539
18,Anthony Davis,32742000,37633544
19,Damian Lillard,31626953,36351912
20,Kevin Love,31258256,35928133
21,Pascal Siakam,30559200,35124641
21,Ben Simmons,30559200,35124641
23,Kyle Lowry,30500000,35056596
24,Steven Adams,29592695,34013743
25,Joel Embiid,29542010,33955486
25,Andrew Wiggins,29542010,33955486
25,Nikola Jokic,29542010,33955486
28,Devin Booker,29467800,33870189
28,Karl-Anthony Towns,29467800,33870189
28,Kristaps Porzingis,29467800,33870189
31,CJ McCollum,29354152,33739563
32,Bradley Beal,28751774,33047191
32,Andre Drummond,28751774,33047190
34,D'Angelo Russell,28649250,32929351
35,Gordon Hayward,28500000,32757803
36,Otto Porter,28489239,32745434
37,DeMar DeRozan,27739975,31884233
38,Giannis Antetokounmpo,27528088,31640691
39,Rudy Gobert,27525281,31637464
40,Al Horford,27500000,31608407
41,Brandon Ingram,27285000,31361286
41,Jamal Murray,27285000,31361286
43,Jrue Holiday,27026011,31063605
44,Nikola Vucevic,26000000,29884312
45,Jaylen Brown,25035118,28775279
46,Buddy Hield,24931817,28656546
47,Draymond Green,22246956,25570575
48,Harrison Barnes,22215909,25534890
49,Fred VanVleet,21250000,24424678
50,Victor Oladipo,21000000,24137328
51,Malcolm Brogdon,20700000,23792509
52,Julius Randle,19845000,22809775
53,Domantas Sabonis,19800000,22758053
54,Gary Harris,19610714,22540488
55,Zach LaVine,19500000,22413234
55,Danilo Gallinari,19500000,22413234
57,Jerami Grant,19050000,21896005
58,Tim Hardaway Jr,18975000,21809800
59,Terry Rozier,18900000,21723596
60,Aaron Gordon,18136364,20845875
61,Goran Dragic,18000000,20689139
61,Myles Turner,18000000,20689139
61,Bogdan Bogdanovic,18000000,20689139
61,Clint Capela,18000000,20689139
65,Bojan Bogdanovic,17850000,20516729
66,LaMarcus Aldridge,17628340,20261954
67,Gorgui Dieng,17587688,20215228
68,Evan Fournier,17150000,19712152
69,Ricky Rubio,17000000,19539742
70,Eric Bledsoe,16875000,19396067
