Player_number,Age,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,VORP_0
1,29.3,1,6000000,6000000,6000000,2020,2019,2018,0
2,27.4,1,2258000,2258000,2258000,2020,2019,2018,-0.1
3,27.7,5,189903600,37980720,189903600,2020,2019,2018,-1
4,33.9,2,14350000,7175000,14350000,2020,2019,2018,3.7
5,28.2,3,9975000,3325000,9975000,2020,2019,2018,0
6,29.9,1,5635000,5635000,5635000,2020,2019,2018,-0.5
7,28.2,1,3500000,3500000,3500000,2020,2019,2018,2.4
8,25.8,2,7427150,3713575,7427150,2020,2019,2018,-0.5
9,28.2,4,72000000,18000000,72000000,2020,2019,2018,0.2
10,23.2,5,158253000,31650600,158253000,2020,2019,2018,0.7
11,27.3,2,4791147,2395574,4791147,2020,2019,2018,0
12,36.4,1,2564753,2564753,2564753,2020,2019,2018,-0.3
13,23.7,3,5294220,1764740,5294220,2020,2019,2018,-0.1
14,27.8,2,13520000,6760000,13520000,2020,2019,2018,-0.1
15,25.1,3,41000000,13666667,41000000,2020,2019,2018,0
16,33.0,3,21000000,7000000,21000000,2020,2019,2018,-0.4
17,25.3,2,3714156,1857078,3714156,2020,2019,2018,0
18,32.2,3,61425000,20475000,61425000,2020,2019,2018,0.3
19,23.5,1,1445697,1445697,1445697,2020,2019,2018,0
20,26.6,3,27000000,9000000,27000000,2020,2019,2018,-0.1
21,28.0,5,80000000,16000000,80000000,2020,2019,2018,0
22,22.4,4,34627688,8656922,34627688,2020,2019,2018,0.2
23,26.3,2,3714156,1857078,3714156,2020,2019,2018,0
24,29.3,3,29162700,9720900,29162700,2020,2019,2018,0.1
25,23.8,2,18978900,9489450,18978900,2020,2019,2018,-0.2
26,25.6,1,1620564,1620564,1620564,2020,2019,2018,2.6
27,23.8,3,5294220,1764740,5294220,2020,2019,2018,1.2
28,25.2,2,3502857,1751429,3502857,2020,2019,2018,1.2
29,34.9,1,2564753,2564753,2564753,2020,2019,2018,-0.1
30,26.8,1,4767000,4767000,4767000,2020,2019,2018,-0.1
31,22.6,2,3502857,1751429,3502857,2020,2019,2018,2
32,27.6,1,1882867,1882867,1882867,2020,2019,2018,-0.1
33,26.7,4,85000000,21250000,85000000,2020,2019,2018,0.6
34,34.5,1,4767000,4767000,4767000,2020,2019,2018,0
35,26.0,2,4100000,2050000,4100000,2020,2019,2018,0
36,26.8,1,2028594,2028594,2028594,2020,2019,2018,0
37,34.5,1,18000000,18000000,18000000,2020,2019,2018,0.1
38,30.7,4,120000000,30000000,120000000,2020,2019,2018,-0.2
39,22.6,1,1678854,1678854,1678854,2020,2019,2018,0.1
40,31.4,1,2320044,2320044,2320044,2020,2019,2018,0.2
41,30.3,3,29162700,9720900,29162700,2020,2019,2018,0.3
42,24.9,2,4012890,2006445,4012890,2020,2019,2018,0.8
43,27.7,1,1882867,1882867,1882867,2020,2019,2018,1.4
44,25.1,3,26250000,8750000,26250000,2020,2019,2018,0.2
45,30.3,1,3300000,3300000,3300000,2020,2019,2018,-0.3
46,30.4,2,14759508,7379754,14759508,2020,2019,2018,0.3
47,35.3,1,2564753,2564753,2564753,2020,2019,2018,0.2
48,34.2,1,2564753,2564753,2564753,2020,2019,2018,0.5
49,32.4,1,2564753,2564753,2564753,2020,2019,2018,-0.4
50,26.7,3,60007500,20002500,60007500,2020,2019,2018,2.1
51,28.1,2,4012890,2006445,4012890,2020,2019,2018,-0.1
52,25.2,3,11500000,3833333,11500000,2020,2019,2018,0
53,29.2,4,75000000,18750000,75000000,2020,2019,2018,0.8
54,24.7,4,9000000,2250000,9000000,2020,2019,2018,0
55,21.0,3,5850000,1950000,5850000,2020,2019,2018,0.9
56,28.4,4,51520000,12880000,51520000,2020,2019,2018,1.6
57,36.4,1,2564753,2564753,2564753,2020,2019,2018,1.3
58,23.8,2,9772350,4886175,9772350,2020,2019,2018,-0.1
59,27.2,3,5294220,1764740,5294220,2020,2019,2018,1.3
60,25.2,3,21037320,7012440,21037320,2020,2019,2018,0.4
61,31.6,3,18019260,6006420,18019260,2020,2019,2018,2
62,25.2,2,3147290,1573645,3147290,2020,2019,2018,0
63,25.9,3,6000000,2000000,6000000,2020,2019,2018,0.2
64,31.3,1,2320044,2320044,2320044,2020,2019,2018,0.1
65,27.8,3,39116585,13038862,39116585,2020,2019,2018,0.2
66,26.7,2,10000000,5000000,10000000,2020,2019,2018,-0.1
67,28.9,1,2028594,2028594,2028594,2020,2019,2018,0.1
68,24.0,4,60000000,15000000,60000000,2020,2019,2018,0.1
69,35.8,2,5257744,2628872,5257744,2020,2019,2018,-0.1
70,31.2,4,64000000,16000000,64000000,2020,2019,2018,0
71,31.2,1,2331593,2331593,2331593,2020,2019,2018,-0.1
