,PLAYER,,Real Salary,Year
1,Stephen Curry,"$45,780,966","$49,928,610",2022
2,James Harden,"$44,310,840","$48,325,294",2022
2,John Wall,"$44,310,840","$48,325,294",2022
4,Russell Westbrook,"$44,211,146","$48,216,568",2022
5,Kevin Durant,"$42,018,900","$45,825,710",2022
6,LeBron James,"$41,180,544","$44,911,401",2022
7,Paul George,"$39,344,970","$42,909,529",2022
8,Damian Lillard,"$39,344,900","$42,909,452",2022
8,Giannis Antetokounmpo,"$39,344,900","$42,909,452",2022
8,Kawhi Leonard,"$39,344,900","$42,909,452",2022
11,Klay Thompson,"$37,980,720","$41,421,681",2022
12,Jimmy Butler,"$36,016,200","$39,279,180",2022
13,Tobias Harris,"$35,995,950","$39,257,095",2022
14,Khris Middleton,"$35,500,000","$38,716,214",2022
15,Anthony Davis,"$35,361,360","$38,565,013",2022
16,Rudy Gobert,"$35,344,828","$38,546,983",2022
17,Kyrie Irving,"$35,328,700","$38,529,394",2022
18,Kemba Walker,"$34,967,442","$38,135,407",2022
19,Bradley Beal,"$33,724,200","$36,779,530",2022
20,Pascal Siakam,"$33,003,936","$35,994,012",2022
20,Ben Simmons,"$33,003,936","$35,994,012",2022
22,Blake Griffin,"$32,405,817","$35,341,704",2022
23,Kristaps Porzingis,"$31,650,600","$34,518,067",2022
23,Devin Booker,"$31,650,600","$34,518,067",2022
23,Karl-Anthony Towns,"$31,650,600","$34,518,067",2022
26,Joel Embiid,"$31,579,390","$34,440,406",2022
26,Andrew Wiggins,"$31,579,390","$34,440,406",2022
28,Kevin Love,"$31,258,256","$34,090,178",2022
29,Jrue Holiday,"$31,171,333","$33,995,380",2022
30,Nikola Jokic,"$31,044,906","$33,857,499",2022
31,CJ McCollum,"$30,864,198","$33,660,419",2022
32,Chris Paul,"$30,800,000","$33,590,405",2022
33,D'Angelo Russell,"$30,013,500","$32,732,650",2022
34,Gordon Hayward,"$29,925,000","$32,636,132",2022
35,Brandon Ingram,"$29,467,800","$32,137,511",2022
35,Jamal Murray,"$29,467,800","$32,137,511",2022
37,Donovan Mitchell,"$28,103,500","$30,649,609",2022
37,De'Aaron Fox,"$28,103,500","$30,649,609",2022
37,Bam Adebayo,"$28,103,500","$30,649,609",2022
37,Jayson Tatum,"$28,103,500","$30,649,609",2022
41,Al Horford,"$27,000,000","$29,446,134",2022
42,Kyle Lowry,"$26,984,128","$29,428,824",2022
43,Jaylen Brown,"$26,758,928","$29,183,222",2022
44,DeMar DeRozan,"$26,000,000","$28,355,537",2022
45,Draymond Green,"$24,026,712","$26,203,473",2022
46,Nikola Vucevic,"$24,000,000","$26,174,341",2022
47,Buddy Hield,"$23,073,234","$25,163,613",2022
48,John Collins,"$23,000,000","$25,083,744",2022
49,Malcolm Brogdon,"$21,700,000","$23,665,967",2022
50,Tim Hardaway Jr,"$21,306,816","$23,237,161",2022
51,Mike Conley,"$21,000,000","$22,902,549",2022
52,Gary Harris,"$20,932,143","$22,828,544",2022
53,Danilo Gallinari,"$20,475,000","$22,329,985",2022
54,Harrison Barnes,"$20,284,091","$22,121,780",2022
55,Jerami Grant,"$20,002,500","$21,814,678",2022
56,Jarrett Allen,"$20,000,000","$21,811,951",2022
57,Julius Randle,"$19,800,000","$21,593,832",2022
58,Fred VanVleet,"$19,675,926","$21,458,517",2022
59,Zach LaVine,"$19,500,000","$21,266,652",2022
60,Goran Dragic,"$19,348,907","$21,101,870",2022
61,Spencer Dinwiddie,"$19,314,284","$21,064,111",2022
62,Bojan Bogdanovic,"$18,700,000","$20,394,174",2022
63,Lonzo Ball,"$18,604,651","$20,290,187",2022
64,Domantas Sabonis,"$18,500,000","$20,176,055",2022
65,Eric Gordon,"$18,218,818","$19,869,398",2022
66,Eric Bledsoe,"$18,125,000","$19,767,081",2022
67,Myles Turner,"$18,000,000","$19,630,756",2022
67,Bogdan Bogdanovic,"$18,000,000","$19,630,756",2022
69,Terry Rozier,"$17,905,263","$19,527,436",2022
70,Ricky Rubio,"$17,800,000","$19,412,636",2022
71,Clint Capela,"$17,603,448","$19,198,277",2022
72,Caris LeVert,"$17,500,000","$19,085,457",2022
73,Jonathan Isaac,"$17,400,000","$18,976,397",2022
74,Joe Harris,"$17,357,143","$18,929,658",2022
75,Evan Fournier,"$17,142,857","$18,695,958",2022
76,Steven Adams,"$17,073,171","$18,619,958",2022
77,Markelle Fultz,"$16,500,000","$17,994,860",2022
78,Aaron Gordon,"$16,409,091","$17,895,714",2022
79,Gary Trent Jr,"$16,225,000","$17,694,945",2022
80,OG Anunoby,"$16,071,429","$17,527,461",2022
81,Davis Bertans,"$16,000,000","$17,449,561",2022
82,Lauri Markkanen,"$15,690,909","$17,112,467",2022
83,Derrick White,"$15,678,571","$17,099,011",2022
84,Duncan Robinson,"$15,650,000","$17,067,852",2022
85,Marcus Morris,"$15,627,907","$17,043,757",2022
86,Will Barton,"$15,625,000","$17,040,587",2022
87,Norman Powell,"$15,517,242","$16,923,066",2022
88,Dejounte Murray,"$15,428,880","$16,826,699",2022
89,Malik Beasley,"$14,491,964","$15,804,900",2022
90,Patrick Beverley,"$14,320,987","$15,618,433",2022
91,Thaddeus Young,"$14,190,000","$15,475,579",2022
92,Jonas Valanciunas,"$14,000,000","$15,268,366",2022
93,Marcus Smart,"$13,839,285","$15,093,090",2022
94,Doug McDermott,"$13,750,000","$14,995,716",2022
95,Christian Wood,"$13,666,667","$14,904,833",2022
96,Derrick Rose,"$13,445,120","$14,663,215",2022
97,Luke Kennard,"$13,347,727","$14,556,998",2022
98,Taurean Prince,"$13,334,375","$14,542,437",2022
99,Brook Lopez,"$13,302,325","$14,507,483",2022
100,Kentavious Caldwell-Pope,"$13,038,862","$14,220,151",2022
101,Joe Ingles,"$13,036,364","$14,217,427",2022
102,Kyle Kuzma,"$13,000,000","$14,177,768",2022
103,Robert Covington,"$12,975,471","$14,151,017",2022
104,TJ Warren,"$12,940,000","$14,112,332",2022
105,Deandre Ayton,"$12,632,950","$13,777,464",2022
106,Terrence Ross,"$12,500,000","$13,632,469",2022
107,Jordan Clarkson,"$12,420,000","$13,545,221",2022
108,Dillon Brooks,"$12,200,000","$13,305,290",2022
109,Kelly Olynyk,"$12,195,122","$13,299,970",2022
110,Nicolas Batum,"$12,026,998","$13,116,613",2022
111,Josh Hart,"$12,000,000","$13,087,170",2022
111,Jusuf Nurkic,"$12,000,000","$13,087,170",2022
111,Kelly Oubre,"$12,000,000","$13,087,170",2022
114,Josh Richardson,"$11,615,328","$12,667,648",2022
115,Marvin Bagley,"$11,312,114","$12,336,964",2022
116,DeAndre Jordan,"$11,109,327","$12,115,804",2022
117,Dwight Powell,"$11,080,125","$12,083,957",2022
118,Devonte Graham,"$11,000,000","$11,996,573",2022
