Player,Pos,Age,Type,FROM,TO,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,Count Records 0,Count Records 1,Count Records 2,VORP_0,VORP_1,VORP_2,MP_0,MP_1,MP_2
Alec Burks,SG,29.3,UFA,PHI,NYK,1,6000000,6000000,6000000,2020,2019,2018,1 ,0 ,,0,0,,,,
Alex Len,C,27.4,UFA,SAC,TOR,1,2258000,2258000,2258000,2020,2019,2018,1 ,0 ,,-0.1,0,,,,
Anthony Davis,C,27.7,UFA,LAL,LAL,5,189903600,37980720,189903600,2020,2019,2018,1 ,1 ,,-1,-0.1,,,,
Aron Baynes,C,33.9,UFA,PHX,TOR,2,14350000,7175000,14350000,2020,2019,2018,1 ,1 ,,3.7,3.7,,,,
Austin Rivers,SG,28.2,UFA,HOU,NYK,3,9975000,3325000,9975000,2020,2019,2018,1 ,0 ,,0,0,,,,
Avery Bradley,PG,29.9,UFA,LAL,MIA,1,5635000,5635000,5635000,2020,2019,2018,1 ,0 ,,-0.5,0,,,,
Bismack Biyombo,C,28.2,UFA,CHA,CHA,1,3500000,3500000,3500000,2020,2019,2018,1 ,1 ,,2.4,2,,,,
Bobby Portis,PF,25.8,UFA,NYK,MIL,2,7427150,3713575,7427150,2020,2019,2018,1 ,1 ,,-0.5,-0.4,,,,
Bogdan Bogdanovic,SG,28.2,RFA,SAC,ATL,4,72000000,18000000,72000000,2020,2019,2018,1 ,1 ,,0.2,-0.3,,,,
Brandon Ingram,SF,23.2,RFA,NOP,NOP,5,158253000,31650600,158253000,2020,2019,2018,1 ,1 ,,0.7,0,,,,
Bryn Forbes,SG,27.3,UFA,SAS,MIL,2,4791147,2395574,4791147,2020,2019,2018,0 ,0 ,,0,0,,,,
Carmelo Anthony,PF,36.4,UFA,POR,POR,1,2564753,2564753,2564753,2020,2019,2018,1 ,1 ,,-0.3,0.4,,,,
Chimezie Metu,C,23.7,UFA,SAS,SAC,3,5294220,1764740,5294220,2020,2019,2018,1 ,1 ,,-0.1,0.1,,,,
Chris Boucher,PF,27.8,RFA,TOR,TOR,2,13520000,6760000,13520000,2020,2019,2018,1 ,0 ,,-0.1,0,,,,
Christian Wood,PF,25.1,UFA,DET,HOU,3,41000000,13666667,41000000,2020,2019,2018,1 ,1 ,,0,0.4,,,,
D.J. Augustin,PG,33.0,UFA,ORL,MIL,3,21000000,7000000,21000000,2020,2019,2018,1 ,1 ,,-0.4,0.1,,,,
Damian Jones,C,25.3,UFA,ATL,PHX,2,3714156,1857078,3714156,2020,2019,2018,1 ,0 ,,0,0,,,,
Danilo Gallinari,PF,32.2,UFA,OKC,ATL,3,61425000,20475000,61425000,2020,2019,2018,1 ,0 ,,0.3,0,,,,
