Player number,Age,Ave Salary,Year,VORP_0,VORP_1,VORP
1,29.00,50203930,2022 ,1,2.9,1
2,27.20,43031940,2022 ,2.6,3.1,2.6
3,32.90,34320000,2022 ,-0.1,-0.6,-0.1
4,23.90,33232282,2022 ,3.7,3.7,3.7
5,25.80,26000000,2022 ,2.1,1.7,2.1
6,23.00,25000000,2022 ,1.9,1.2,1.9
7,23.60,17737500,2022 ,-0.2,1,-0.2
8,27.80,17500000,2022 ,0.9,1,0.9
9,23.20,16500000,2022 ,0.5,0.3,0.5
10,24.20,15000000,2022 ,2,0.7,2
11,26.10,14500000,2022 ,1.3,-0.7,1.3
12,23.20,12500000,2022 ,-0.1,-0.3,-0.1
13,27.30,12144552,2022 ,1.4,0.9,1.4
14,29.40,11750000,2022 ,1.1,1.2,1.1
15,33.50,11277084,2022 ,0.8,0,0.8
16,37.20,11014500,2022 ,0.9,2,0.9
17,24.10,10300000,2022 ,1.8,0.1,1.8
18,24.40,9709025,2022 ,1.6,1.8,1.6
19,30.20,9100000,2022 ,0.7,0,0.7
20,28.80,9000000,2022 ,1.3,0.3,1.3
21,29.60,8715000,2022 ,1.2,0.4,1.2
22,23.20,8625000,2022 ,0.1,0.3,0.1
23,30.20,8000000,2022 ,1.2,0.7,1.2
24,24.20,8000000,2022 ,0,0.4,0
25,26.80,7840000,2022 ,1.6,0,1.6
26,26.40,7500000,2022 ,0.1,0.1,0.1
27,26.70,6876811,2022 ,1.2,2.5,1.2
28,26.80,6802950,2022 ,0.6,0.4,0.6
29,31.80,6640975,2022 ,0,2.6,0
30,25.80,6640975,2022 ,1.8,0.3,1.8
31,33.80,6640975,2022 ,-0.2,-0.7,-0.2
32,33.90,6640975,2022 ,0.8,1,0.8
33,23.50,6479000,2022 ,1.2,0.3,1.2
34,34.80,6479000,2022 ,-0.1,0.1,-0.1
35,29.10,6150000,2022 ,0.5,0,0.5
36,31.70,6146342,2022 ,2,0.2,2
37,34.40,5734280,2022 ,1.1,-0.3,1.1
38,22.20,5043773,2022 ,0.2,0.4,0.2
39,25.40,4612500,2022 ,0.3,-0.2,0.3
40,32.80,4512000,2022 ,-0.1,1,-0.1
41,29.00,4207625,2022 ,0.3,0.2,0.3
42,25.00,3666667,2022 ,0.8,-0.1,0.8
43,31.10,3500000,2022 ,0.2,-0.3,0.2
44,25.30,3280000,2022 ,0.2,0.2,0.2
45,28.80,3280000,2022 ,1.1,0.3,1.1
46,22.90,3000000,2022 ,-0.3,0.4,-0.3
47,34.20,2905851,2022 ,0,0.3,0
48,35.70,2905851,2022 ,0.1,-0.1,0.1
49,29.80,2905851,2022 ,0,0,0
50,29.90,2905851,2022 ,-0.3,0.2,-0.3
51,36.20,2905851,2022 ,0.6,0.1,0.6
52,42.20,2905851,2022 ,0.3,0.6,0.3
53,37.00,2905851,2022 ,-0.1,0,-0.1
54,32.80,2905851,2022 ,0.1,0.1,0.1
55,33.90,2905851,2022 ,0.2,-0.2,0.2
56,33.50,2905851,2022 ,2.4,2,2.4
57,38.60,2905851,2022 ,-0.4,0.5,-0.4
58,24.00,2900000,2022 ,-0.3,0.1,-0.3
59,29.00,2641682,2022 ,0,-0.1,0
60,32.50,2641682,2022 ,-0.1,0,-0.1
61,28.80,2628597,2022 ,-0.5,-0.4,-0.5
62,32.10,2628597,2022 ,-0.1,0.5,-0.1
63,31.80,2628597,2022 ,0,0.6,0
64,28.60,2611758,2022 ,-0.2,-0.1,-0.2
65,30.10,2463490,2022 ,0.1,0.2,0.1
66,29.20,2463490,2022 ,-0.1,0,-0.1
67,27.00,2442525,2022 ,-0.1,0,-0.1
68,28.90,2298385,2022 ,0.1,-0.3,0.1
69,28.50,2298385,2022 ,-0.4,0.1,-0.4
70,31.00,2298385,2022 ,-0.1,-0.6,-0.1
71,26.80,2298385,2022 ,0.3,0,0.3
72,26.90,2273291,2022 ,0,0.8,0
73,26.30,2273291,2022 ,0.1,0.8,0.1
74,25.20,2271775,2022 ,0,0,0
75,22.60,2200000,2022 ,0.1,0.9,0.1
76,23,2187500,2022 ,0.3,0.3,0.3
77,26.80,2169972,2022 ,0.7,0.5,0.7
78,29.70,2133278,2022 ,0,0.2,0
79,25.50,2133278,2022 ,0.1,-0.1,0.1
80,28.40,2133278,2022 ,0.1,-0.7,0.1
81,24.90,2133278,2022 ,-0.4,0.1,-0.4
82,24.30,2133278,2022 ,-0.1,-0.4,-0.1
83,23.30,1984359,2022 ,-0.6,0.1,-0.6
84,27.00,1984359,2022 ,0,0.4,0
85,22.90,1968185,2022 ,0.2,0.4,0.2
86,23.80,1968175,2022 ,0.2,0,0.2
87,25.80,1968175,2022 ,0.1,0,0.1
88,26.70,1968175,2022 ,0.3,0.8,0.3
89,26.80,1968175,2022 ,0,0,0
90,27.80,1968175,2022 ,0.1,-0.1,0.1
91,25.40,1968175,2022 ,-0.1,-0.1,-0.1
92,29.70,1916664,2022 ,0,-0.1,0
93,24.80,1916664,2022 ,0.4,0.7,0.4
94,22.70,1902133,2022 ,0.2,0,0.2
95,24.80,1902133,2022 ,-1,-0.1,-1
96,29.20,1902133,2022 ,0,0,0
97,25.80,1902133,2022 ,0,0,0
98,28.20,1902133,2022 ,-0.1,-0.1,-0.1
99,25.00,1902133,2022 ,-0.3,0,-0.3
100,23.70,1886069,2022 ,0.1,-0.4,0.1
101,24.60,1886069,2022 ,-0.7,0,-0.7
102,22.10,1836090,2022 ,-0.5,0,-0.5
103,26.80,1836090,2022 ,0,0,0
104,26.00,1836090,2022 ,0,0.3,0
105,23.20,1836090,2022 ,0.4,0.5,0.4
106,23.00,1836090,2022 ,-0.1,-0.2,-0.1
107,25.20,1836090,2022 ,0,-0.4,0
108,24.70,1836090,2022 ,-0.5,0,-0.5
109,24.60,1836090,2022 ,0,0,0
110,22.10,1836090,2022 ,0,0,0
111,25.10,1836090,2022 ,-0.1,0,-0.1
112,31.50,1836090,2022 ,0,-0.2,0
113,21.80,1782931,2022 ,0,-0.3,0
114,21.00,1782931,2022 ,0,0.1,0
115,27.50,1637966,2022 ,0,0,0
116,23.80,1637966,2022 ,0,0,0
117,24.70,1637966,2022 ,-0.1,0,-0.1
118,29.10,1637966,2022 ,0,0,0
119,21.20,1637966,2022 ,-0.1,0,-0.1
120,25.40,1637966,2022 ,0,0,0
121,21.60,1637966,2022 ,0.1,0,0.1
122,24.20,1637966,2022 ,-0.2,0,-0.2
123,30.10,44066288,2021,4.2,5.1,4.2
124,23.80,25000000,2021,2,1.7,2
125,36.20,30000000,2021,3.6,3.5,3.6
126,23.20,20000000,2021,1.4,2,1.4
127,27.20,18000000,2021,0.6,1.3,0.6
128,28.20,18000000,2021,1.3,1.5,1.3
129,35.30,28333334,2021,1.5,2.8,1.5
130,32.00,28333333,2021,2.6,2.3,2.6
131,23.80,20000000,2021,1.6,1.3,1.6
132,29.30,18750000,2021,1.2,1,1.2
133,28.80,18250000,2021,1,1.6,1
134,33.80,22680000,2021,2.6,0.8,2.6
135,24.20,16867727,2021,0.7,0.5,0.7
136,28.30,18000000,2021,0,1.9,0
137,22.50,17280000,2021,-0.1,0.6,-0.1
138,26.40,11825000,2021,1.1,1.4,1.1
139,27.80,11630640,2021,1.2,0.9,1.2
140,32.80,14520730,2021,1.3,1.4,1.3
141,29.60,14000000,2021,0.6,0.7,0.6
142,26.40,12640000,2021,0.4,0.6,0.4
143,30.20,12398374,2021,1.6,1,1.6
144,27.40,9250000,2021,0.6,0.5,0.6
145,29.30,8901378,2021,0.8,1.7,0.8
146,29.30,8400000,2021,1.5,0.8,1.5
147,20.70,10260000,2021,0.3,0,0.3
148,30.00,10012800,2021,1.1,1.1,1.1
149,30.30,10012800,2021,0.9,-0.2,0.9
150,27.20,9240000,2021,1.3,1.5,1.3
151,25.60,12500000,2021,0,0.7,0
152,23.70,7350000,2021,0,-0.1,0
153,31.20,10799880,2021,0.9,0.3,0.9
154,28.80,6667500,2021,0.4,-0.1,0.4
155,34.10,10000000,2021,1.9,1.1,1.9
156,26.90,6333333,2021,1.4,0.2,1.4
157,34.90,6184500,2021,0.6,0.4,0.6
158,31.20,8947246,2021,1.4,2.9,1.4
159,31.10,8200000,2021,0.1,0.5,0.1
160,35.20,5155500,2021,-0.4,0.4,-0.4
