Unnamed: 0,PLAYER,Unnamed: 2,Real Salary,Year,New Player Name,Count Records,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional
,,,,2019,Aaron Gordon,1.0,Aaron Gordon,PF,23.0,ORL,78.0,2633.0,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,gordoaa01
,,,,2020,Aaron Gordon,1.0,Aaron Gordon,PF,24.0,ORL,62.0,2017.0,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0,1.0,gordoaa01
,,,,2021,Aaron Gordon,1.0,Aaron Gordon,PF,25.0,TOT,50.0,1384.0,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,gordoaa01
,,,,2022,Aaron Gordon,1.0,Aaron Gordon,PF,26.0,DEN,75.0,2376.0,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,gordoaa01
,,,,2022,Aaron Henry,1.0,Aaron Henry,SF,22.0,PHI,6.0,17.0,-7.4,0.2,0.2,0.0,0.0,6.5,3.3,0.0,0.0,10.6,28.6,18.5,-0.1,0.0,-0.1,-0.306,-14.0,-2.4,-16.5,-0.1,henryaa01
,,,,2019,Aaron Holiday,1.0,Aaron Holiday,PG,22.0,IND,50.0,646.0,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1,holidaa01
,,,,2020,Aaron Holiday,1.0,Aaron Holiday,PG,23.0,IND,66.0,1617.0,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2,holidaa01
,,,,2021,Aaron Holiday,1.0,Aaron Holiday,PG,24.0,IND,66.0,1176.0,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,holidaa01
,,,,2022,Aaron Holiday,1.0,Aaron Holiday,PG,25.0,TOT,63.0,1021.0,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2.0,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,holidaa01
,,,,2021,Aaron Nesmith,1.0,Aaron Nesmith,SF,21.0,BOS,46.0,669.0,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2,nesmiaa01
